"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "XML", "SCSS", "CSS", "WebAssembly Binary", "WebAssembly Text", "C", "JSON with Comments", "comment", "blank", "total"
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/base/_typography.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_embedBrowser.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_figures.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_fileViewer.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_input.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_links.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_questionBox.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_tabViewer.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_taskCard.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_footer.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_grid.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_header.scss", "SCSS", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 24, 83
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_main.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/main.scss", "SCSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 9, 33
"/home/moritz/Web-Projekte/Web-Engineering/content.json", "JSON", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"/home/moritz/Web-Projekte/Web-Engineering/home/info/index.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moritz/Web-Projekte/Web-Engineering/home/overview/index.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/moritz/Web-Projekte/Web-Engineering/home/welcome/index.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/moritz/Web-Projekte/Web-Engineering/index.html", "HTML", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 180
"/home/moritz/Web-Projekte/Web-Engineering/manifest.webmanifest", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
